ID_marked,original_case_study_title,original_source_citation
R-263,Estimation of CO2 emission of apartment buildings due to major construction materials in the Republic of Korea,"Jeong, Y.-S., Lee, S.-E., & Huh, J.-H. (2012). Estimation of CO 2 emission of apartment buildings due to major construction materials in the Republic of Korea. Energy and Buildings, 49, 437–442. https://doi.org/10.1016/j.enbuild.2012.02.041"
R-264,,"Jeong, Lee, & Huh, 2012"
R-265,,"Jeong, Lee, & Huh, 2012"
R-266,,"Jeong, Lee, & Huh, 2012"
R-267,,"Jeong, Lee, & Huh, 2012"
R-268,,"Jeong, Lee, & Huh, 2012"
R-269,Green template for life cycle assessment of buildings based on building information modeling: Focus on embodied environmental impact,"Lee, S., Tae, S., Roh, S., & Kim, T. (2015). Green template for life cycle assessment of buildings based on building information modeling: Focus on embodied environmental impact. Sustainability (Switzerland). https://doi.org/10.3390/su71215830"
R-270,Analysis of embodied energy use in the residential building of Hong Kong,"Chen, T. Y., Burnett, J., & Chau, C. K. (2001). Analysis of embodied energy use in the residential building of Hong Kong. Energy (Vol. 26). Retrieved from www.elsevier.com/locate/energy"
R-271,,"Chen, Burnett, & Chau, 2001"
R-272,Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis,"Huang, T., Shi, F., Tanikawa, H., Fei, J., & Han, J. (2013). Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis. Resources, Conservation and Recycling, 72, 91–101. https://doi.org/10.1016/j.resconrec.2012.12.013"
R-273,,"Huang, Shi, Tanikawa, Fei, & Han, 2013"
R-274,,"Huang, Shi, Tanikawa, Fei, & Han, 2013"
R-275,,"Huang, Shi, Tanikawa, Fei, & Han, 2013"
R-276,,"Huang, Shi, Tanikawa, Fei, & Han, 2013"
R-277,,"Huang, Shi, Tanikawa, Fei, & Han, 2013"
R-278,,"Huang, Shi, Tanikawa, Fei, & Han, 2013"
R-279,,"Huang, Shi, Tanikawa, Fei, & Han, 2013"
R-280,,"Huang, Shi, Tanikawa, Fei, & Han, 2013"
R-281,,"Huang, Shi, Tanikawa, Fei, & Han, 2013"
R-282,"Development of an automated estimator of life-cycle carbon emissions for residential buildings: A case study in Nanjing, China","Li, D., Cui, P., & Lu, Y. (2016). Development of an automated estimator of life-cycle carbon emissions for residential buildings: A case study in Nanjing, China. Habitat International. https://doi.org/10.1016/j.habitatint.2016.07.003"
R-283,A detailed analysis of the embodied energy and carbon emissions of steel-construction residential buildings in China,"Su, X., & Zhang, X. (2016). A detailed analysis of the embodied energy and carbon emissions of steel-construction residential buildings in China. Energy and Buildings. https://doi.org/10.1016/j.enbuild.2016.03.070"
R-284,,"Su & Zhang, 2016"
R-285,,"Su & Zhang, 2016"
R-286,"Building-information-modeling enabled life cycle assessment, a case study on carbon footprint accounting for a residential building in China","Yang, X., Hu, M., Wu, J., & Zhao, B. (2018). Building-information-modeling enabled life cycle assessment, a case study on carbon footprint accounting for a residential building in China. Journal of Cleaner Production. https://doi.org/10.1016/j.jclepro.2018.02.070"
R-287,Assessment of embodied energy and global warming potential of building construction using life cycle analysis approach: Case studies of residential buildings in Iskandar Malaysia,"Jia Wen, T., Chin Siong, H., & Noor, Z. Z. (2015). Assessment of embodied energy and global warming potential of building construction using life cycle analysis approach: Case studies of residential buildings in Iskandar Malaysia. Energy and Buildings. https://doi.org/10.1016/j.enbuild.2014.12.002"
R-288,,"Jia Wen, Chin Siong, & Noor, 2015"
R-289,Environmental impact analysis on residential building in Malaysia using life cycle assessment,"Abd Rashid, A., Idris, J., & Yusoff, S. (2017). Environmental Impact Analysis on Residential Building in Malaysia Using Life Cycle Assessment. Sustainability. https://doi.org/10.3390/su9030329"
R-290,Indonesian residential high rise buildings: A life cycle energy assessment,"Utama, A., & Gheewala, S. H. (2009). Indonesian residential high rise buildings: A life cycle energy assessment. Energy and Buildings. https://doi.org/10.1016/j.enbuild.2009.07.025"
R-291,,"Utama & Gheewala, 2009"
R-292,Life cycle energy of single landed houses in Indonesia,"Utama, A., & Gheewala, S. H. (2008). Life cycle energy of single landed houses in Indonesia. Energy and Buildings. https://doi.org/10.1016/j.enbuild.2008.04.018"
R-293,,"Utama & Gheewala, 2008"
